,epoch,train loss,valid loss
0,6,0.0722232480,0.0520618286
1,12,0.0457978619,0.0335310123
2,18,0.0374581371,0.0274811565
3,24,0.0345083883,0.0258514495
4,30,0.0332346340,0.0252429714
5,36,0.0322725274,0.0250452396
6,42,0.0313135576,0.0249850569
7,48,0.0304086565,0.0250677270
8,54,0.0295233525,0.0252400458
9,60,0.0286761613,0.0255006484
