,epoch,train loss,valid loss
0,5,0.0972709955,0.0640934454
1,10,0.0505233041,0.0299038493
2,15,0.0388760399,0.0257430280
3,20,0.0350886010,0.0250660950
4,25,0.0334618119,0.0246951163
5,30,0.0326909785,0.0246223423
6,35,0.0321302580,0.0244860481
7,40,0.0318462488,0.0244654381
8,45,0.0315849812,0.0244917191
9,50,0.0311747204,0.0244824355
